Name,Lat,Lng,State
Crater Lake,42.9437401,-122.1066944,OR
Conneaut Lake,41.6217211,-80.3047858,PA
Clear Lake,44.7538532,-96.6581135,SD
Lake Kampeska,44.9271863,-97.2039648,SD
Lake Madison,43.9580289,-97.0192255,SD
Lake Poinsett,44.5655218,-97.0784003,SD
Red Lake,43.7272192,-99.2214852,SD
Swan Lake,45.2899851,-99.8540073,SD
Lake Thompson,44.2891365,-97.4681278,SD
Waubay Lake,45.4174578,-97.4017552,SD
Lake Whitewood,44.3460804,-97.2986809,SD
Lake Andes,43.1799925,-98.4442468,SD
Bitter Lake,45.2799602,-97.3073061,SD
Reelfoot Lake,36.3650656,-89.4036843,TN
Hubbard Creek Lake,32.8251183,-98.9600694,TX
Smithers Lake,29.4869057,-95.6477249,TX
Cedar Lake,32.8237067,-102.2729531,TX
Tasajal Lake,26.7811668,-98.1658393,TX
White Rock Lake,32.8154055,-96.724443,TX
Lelia Lake,34.8886629,-100.7593047,TX
Toyah Lake,31.3334703,-103.4171158,TX
Laguna Madre,26.7970028,-97.4594283,TX
Clear Lake,39.1044046,-112.6235578,UT
Little Salt Lake,37.9044185,-112.8960579,UT
Quichapa Lake,37.6344216,-113.2024516,UT
Salt Marsh Lake,39.4782771,-113.9080471,UT
Sevier Lake,38.9388459,-113.1619055,UT
Bear Lake,41.9363238,-111.337704,UT
Fish Lake,38.5485875,-111.7110204,UT
Great Salt Lake,40.7032759,-112.3877302,UT
Panguitch Lake,37.7152553,-112.6424375,UT
Scipio Lake,39.1057939,-112.0499331,UT
Utah Lake,40.2449526,-111.7974309,UT
Lake Drummond,36.6032069,-76.4682798,VA
Lake Bomoseen,43.6442324,-73.2131665,VT
Lake Memphremagog,44.9853239,-72.2151023,VT
Seymour Lake,44.8969923,-71.9817632,VT
Long Lake,47.4853742,-122.5890226,WA
Medical Lake,47.5712757,-117.686605,WA
Rock Lake,47.1843326,-117.6821493,WA
Silver Lake,46.2956676,-122.7837228,WA
Soap Lake,47.4048627,-119.4986471,WA
Sprague Lake,47.2590457,-118.0630118,WA
Star Lake,47.3545444,-122.2873441,WA
Lake Stevens,48.0064864,-122.0851319,WA
Vancouver Lake,45.6792828,-122.7187099,WA
Kitsap Lake,47.5725942,-122.7043104,WA
Lenore Lake,47.501808,-119.5133707,WA
Lake Crescent,48.0589758,-123.8149216,WA
Loon Lake,48.0443378,-117.6221767,WA
Omak Lake,48.2720966,-119.3939322,WA
Osoyoos Lake,48.9771079,-119.4381221,WA
Palmer Lake,48.900432,-119.6220186,WA
Lake Roesiger,47.9853777,-121.920404,WA
Spirit Lake,46.2731662,-122.1350955,WA
Trout Lake,46.0095645,-121.5492484,WA
Lake Wenatchee,47.8228987,-120.7762066,WA
Lake Sawyer,47.6748324,-121.2245441,WA
Lake Sammamish,47.5998222,-122.0984548,WA
Lake Cassidy,48.0531538,-122.0943009,WA
Ozette Lake,48.0959021,-124.6363373,WA
Lake Quinault,47.4739754,-123.8679558,WA
Lake Washington,47.6167653,-122.2648466,WA
Lake Whatcom,48.7581653,-122.4229446,WA
Beaver Lake,43.1283405,-88.3598181,WI
Lake Butte des Morts,44.0730386,-88.6420559,WI
Elkhart Lake,43.8255492,-88.0250953,WI
Green Lake,43.8244259,-88.9645576,WI
Lake Koshkonong,42.8741725,-88.9581654,WI
Lake Mendota,43.1066619,-89.4248416,WI
Mole Lake,45.478852,-88.9751139,WI
Lake Monona,43.0691631,-89.3595628,WI
Lake Noquebay,45.2513644,-87.9078853,WI
Pelican Lake,45.5041265,-89.2034532,WI
Pell Lake,42.5414067,-88.3584275,WI
Lake Pepin,44.5458008,-92.3318481,WI
Pine Lake,43.1188962,-88.3842632,WI
Lake Poygan,44.1455366,-88.8345566,WI
Puckaway Lake,43.7530359,-89.1656716,WI
Rib Lake,45.3144106,-90.1982004,WI
